nome,nota,ano
Senjutsu,3.5,» 
,,
Senjutsu,3.5,» 
,,» 
Senjutsu,3.5,2021 
Senjutsu,3.5,
The Book of Souls,3.8,
The Final Frontier,3.5,
A Matter of Life and Death,3.8,
Dance of Death,3.6,
Brave New World,4.1,
Virtual XI,2.5,
The X Factor,2.8,
Fear of the Dark,3.3,
No Prayer for the Dying,2.8,
Seventh Son of a Seventh Son,4.4,
Somewhere in Time,4.2,
Powerslave,4.5,
Piece of Mind,4.2,
The Number of the Beast,4.4,
Killers,4,
Iron Maiden,4.1,
Empire of the Clouds,4.1,
No More Lies,3.5,
Maiden Japan,3.9,
Live!! + One,3.3,
The Soundhouse Tapes,3.5,
Nights of the Dead: Live in Mexico City,3.3,
The Book of Souls: Live Chapter,3.8,
Maiden England '88 (DVD),4.3,
En Vivo! (DVD),4.1,
En Vivo!,3.9,
Flight 666: The Original Soundtrack,3.9,
Flight 666 (DVD),4.3,
Death on the Road (DVD),4,
Death on the Road,3.9,
The Early Days,4.6,
Beast Over Hammersmith,4.3,
BBC Archives,3.9,
Rock in Rio (DVD),4.5,
Rock in Rio,4.3,
A Real Live Dead One,3.2,
Raising Hell,3.2,
Donington Live 1992,3.1,
Live at Donington,3.5,
A Real Dead One,3.2,
A Real Live One,3.2,
Maiden England '88,4.1,
12 Wasted Years,4.3,
Live After Death (DVD),4.5,
Live After Death,4.6,
Maiden Japan (Complete Concert),4.3,
Live at the Rainbow,4.3,
Legacy of the Beast Official Soundtrack,4.5,
From Fear To Eternity,3.9,
Somewhere Back in Time,3.9,
The Essential Iron Maiden,3.7,
Visions of the Beast,3.9,
Edward the Great,3.9,
Eddie's Archive,4,
Best of the B'Sides,3.7,
Ed Hunter,3.5,
Best of the Beast,4.2,
The First Ten Years,4.5,
,,
